App,Category,Rating,Reviews,Size_MBs,Installs,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
A-J Media Vault,BOOKS_AND_REFERENCE,NaN,1,24,50,Free,0,Everyone,Books & Reference,4-Jan-17,4.0.3 and up
CE BF,LIFESTYLE,NaN,0,24,50,Free,0,Everyone,Lifestyle,2-Jan-18,4.1 and up
Galaxies of Hope,MEDICAL,5,2,24,50,Free,0,Everyone,Medical,27-Jul-18,4.1 and up
DT future1 cam,TOOLS,1,1,24,50,Free,0,Everyone,Tools,27-Mar-18,2.2 and up
EH National Mobile Banking,FINANCE,NaN,0,9.15,50,Free,0,Everyone,Finance,12-Oct-17,4.2 and up
Cyborg AX-001,GAME,NaN,0,36,50,Free,0,Everyone 10+,Action,25-Jun-18,Varies with device
EP McGuffey Primer,FAMILY,NaN,0,19,50,Paid,$1.99 ,Everyone,Education,16-Jul-18,Varies with device
Woodland AH,MEDICAL,NaN,0,11,50,Free,0,Everyone,Medical,2-Feb-18,4.0.3 and up
EF Academy,HEALTH_AND_FITNESS,5,4,15,50,Free,0,Everyone,Health & Fitness,23-Mar-18,4.1 and up
daskal.eu,FAMILY,5,5,15,50,Free,0,Everyone,Education,6-Oct-17,4.4 and up
Ci - Logistics Group,BUSINESS,NaN,1,10,50,Free,0,Everyone,Business,4-Mar-15,4.0 and up
AV Anthony's,FOOD_AND_DRINK,NaN,0,10,50,Free,0,Everyone,Food & Drink,11-Jul-18,6.0 and up
Random Love (BF),FAMILY,3.7,3,10,50,Free,0,Everyone,Entertainment,4-Oct-15,2.2 and up
EBook For SAP BW ON HANA Learning Free,FAMILY,NaN,0,10,50,Free,0,Everyone,Education,2-Apr-18,4.0 and up
Coupe Adhémar EY 2017,SOCIAL,NaN,6,10,50,Free,0,Teen,Social,26-Dec-16,4.1 and up
BAMMS for BM 1Park,PRODUCTIVITY,NaN,7,10,50,Free,0,Everyone,Productivity,19-Jul-18,4.1 and up
N+ News Bulgaria,NEWS_AND_MAGAZINES,NaN,2,10,50,Free,0,Everyone,News & Magazines,2-Aug-17,4.0 and up
EU WHO War,FAMILY,NaN,0,1.2,50,Free,0,Everyone,Education,23-Dec-13,3.0 and up
Bu Hangi Oyun ?,GAME,NaN,2,26,50,Free,0,Everyone,Word,11-Mar-18,4.0.3 and up
FK Vojvodina,SPORTS,NaN,5,26,50,Free,0,Everyone,Sports,19-Feb-18,4.1 and up
FK Teplice,SPORTS,NaN,2,26,50,Free,0,Everyone,Sports,1-Mar-18,4.1 and up
FK Radnicki Nis,SPORTS,NaN,1,26,50,Free,0,Everyone,Sports,19-Feb-18,4.1 and up
FK Jablonec,SPORTS,NaN,2,26,50,Free,0,Everyone,Sports,27-Feb-18,4.1 and up
Cb browser,COMMUNICATION,5,5,3.7,50,Free,0,Everyone,Communication,2-Apr-18,4.0 and up
CR Tracker for Chests,TOOLS,5,6,4.5,50,Free,0,Everyone,Tools,5-Jun-18,4.1 and up
Home Remedies for Bacterial Infections,HEALTH_AND_FITNESS,NaN,0,4.4,50,Free,0,Everyone,Health & Fitness,19-Apr-18,2.2 and up
CK SKILLZ,HEALTH_AND_FITNESS,NaN,0,8.6,50,Free,0,Everyone,Health & Fitness,15-May-18,4.1 and up
Lakeside AG Moultrie,LIFESTYLE,5,3,8.6,50,Free,0,Everyone,Lifestyle,23-May-17,4.1 and up
ec.tv,LIFESTYLE,NaN,0,8.6,50,Free,0,Everyone,Lifestyle,11-Nov-16,4.1 and up
Dating White Girls,DATING,NaN,0,3.6,50,Free,0,Mature 17+,Dating,20-Jul-18,4.0 and up
DM AirDisk NAS,TOOLS,NaN,0,35,50,Free,0,Everyone,Tools,31-Jul-18,4.0.3 and up
AJ Gray Icon Pack,PERSONALIZATION,4.8,5,35,50,Paid,$0.99 ,Everyone,Personalization,22-Apr-18,4.1 and up
EF Universe: Endless Battle,FAMILY,4.2,5,54,50,Free,0,Teen,Role Playing,31-Jul-18,4.1 and up
Learn R Programming Free EBook,FAMILY,NaN,1,5.7,50,Free,0,Everyone,Education,23-Mar-18,4.0 and up
UP EB Bill Payment & Details,SOCIAL,5,3,2.4,50,Free,0,Teen,Social,11-Jul-18,4.0 and up
Poop FR,FAMILY,NaN,6,2.5,50,Free,0,Everyone,Entertainment,29-May-18,4.0.3 and up
BS MAPS,MAPS_AND_NAVIGATION,4.5,6,2.5,50,Free,0,Everyone,Maps & Navigation,28-Jul-18,4.0 and up
QuestionPro - CX,BUSINESS,NaN,1,16,50,Free,0,Everyone,Business,3-Aug-18,4.1 and up
DV Portfolio,TOOLS,NaN,0,16,50,Free,0,Everyone,Tools,23-Oct-17,4.1 and up
DN Managed Mobility App,BUSINESS,NaN,0,3.4,50,Free,0,Everyone,Business,13-Jul-18,5.0 and up
tv-ec,FAMILY,NaN,1,3.4,50,Free,0,Everyone,Entertainment,7-Apr-18,4.0.3 and up
Bacterial Vaginosis Treatment,MEDICAL,NaN,0,3.4,50,Free,0,Everyone,Medical,25-Jun-18,4.0 and up
cx advance call blocker,PERSONALIZATION,5,3,3.4,50,Free,0,Everyone,Personalization,9-Apr-18,4.0 and up
DX Glow - Clock Widget,PERSONALIZATION,4.4,5,3.4,50,Paid,$0.99 ,Everyone,Personalization,20-Mar-15,3.0 and up
BN Habitat - Property Experts - Buy | Sell | Rent,BUSINESS,NaN,0,8.9,50,Free,0,Everyone,Business,4-Oct-17,4.1 and up
Q-slope,TOOLS,4.5,2,3.9,50,Paid,$1.76 ,Everyone,Tools,3-Dec-17,4.3 and up
EY Team Connect,PRODUCTIVITY,NaN,0,38,50,Free,0,Everyone,Productivity,8-Jun-18,5.0 and up
D.C. Driving/Walking Tours,TRAVEL_AND_LOCAL,NaN,0,32,50,Paid,$4.99 ,Everyone,Travel & Local,27-Jul-18,4.4 and up
Bi-Tank,GAME,4.6,12,18,50,Free,0,Everyone,Arcade,31-Jul-17,4.1 and up
EG Classroom Decimals™,FAMILY,3,2,18,50,Paid,$2.99 ,Everyone,Education;Education,12-Jun-17,2.2 and up
Wherever BQ,TRAVEL_AND_LOCAL,NaN,7,18,50,Free,0,Teen,Travel & Local,5-Sep-17,4.0.3 and up
CONNECT: The Mobile CX Summit,PRODUCTIVITY,NaN,0,18,50,Free,0,Teen,Productivity,1-Aug-18,5.0 and up
EG Way Life,SOCIAL,NaN,0,1.1,50,Free,0,Everyone,Social,27-Apr-16,4.1 and up
EU GDPR RiskCalc,BUSINESS,NaN,1,13,50,Free,0,Everyone,Business,3-Oct-17,4.2 and up
Geeks Dating,DATING,NaN,0,13,50,Free,0,Mature 17+,Dating,10-Jul-18,4.1 and up
BQ Wings,FOOD_AND_DRINK,NaN,1,13,50,Free,0,Everyone,Food & Drink,17-Jul-18,4.1 and up
Axe Throw: Flip Champ Axes Champion Throwing Games,GAME,NaN,1,13,50,Free,0,Everyone,Arcade,31-May-18,4.0 and up
Verdant EI,TOOLS,NaN,0,13,50,Free,0,Everyone,Tools,6-Nov-17,4.1 and up
Painel EJ SSH - INTERNET GRÁTIS,TOOLS,NaN,10,13,50,Free,0,Everyone,Tools,30-Jul-18,4.1 and up
GATE 21 years CS Papers(2011-2018 Solved),BOOKS_AND_REFERENCE,NaN,1,34,50,Free,0,Everyone,Books & Reference,24-Jul-18,4.1 and up
BN DB1 App,PRODUCTIVITY,NaN,2,34,50,Free,0,Everyone,Productivity,4-Dec-17,4.0.3 and up
FG. Chic - House Lounge Musique - Radios de France,FAMILY,NaN,1,6.5,50,Free,0,Everyone,Entertainment,9-Jun-18,4.2 and up
EX File Explorer File Manage Pro,PRODUCTIVITY,NaN,1,6.3,50,Paid,$1.99 ,Everyone,Productivity,6-Aug-17,4.0 and up
CT Checkout,FINANCE,5,1,8.4,50,Free,0,Everyone,Finance,20-Apr-17,4.2 and up
AJ Rafael Music Lyrics,FAMILY,NaN,0,8.4,50,Free,0,Everyone 10+,Entertainment,3-Jan-18,4.0.3 and up
Animal Hunting: Sniper Shooting,GAME,NaN,0,48,50,Free,0,Teen,Action,6-Jul-18,4.0 and up
dy n fly,LIFESTYLE,NaN,1,4.8,50,Free,0,Everyone,Lifestyle,5-Mar-18,4.0 and up
POCKET ATLAS CARDIAC MRI AND CT,MEDICAL,NaN,0,4.8,50,Free,0,Everyone,Medical,18-Jul-18,4.0 and up
BV Frankfurt inside,SPORTS,NaN,3,4.8,50,Free,0,Everyone,Sports,21-Jun-18,4.4 and up
The DJ - Match with People,DATING,NaN,0,9.8,50,Free,0,Mature 17+,Dating,2-Aug-18,4.1 and up
AQ Ria Retail,FAMILY,5,4,52,50,Free,0,Everyone,Education,3-Apr-18,4.1 and up
R File Manager,TOOLS,4.8,17,6.7,50,Free,0,Everyone,Tools,5-May-18,4.4 and up
bk Group Mobile,BUSINESS,NaN,1,30,50,Free,0,Everyone,Business,26-Feb-18,4.4W and up
Debra Care Conference,BUSINESS,NaN,0,30,50,Free,0,Everyone,Business,15-Jun-18,5.0 and up
Lord Fairfax EMS Council,MEDICAL,NaN,0,30,50,Free,0,Everyone,Medical,17-Jul-18,4.0.3 and up
Bar BQ Tonight Dublin,LIFESTYLE,NaN,0,22,50,Free,0,Everyone,Lifestyle,20-May-18,4.0.3 and up
Ah !,FAMILY,NaN,3,22,50,Free,0,Everyone,Entertainment,27-Dec-17,5.0 and up
CW Mobile,FAMILY,NaN,3,22,50,Free,0,Everyone,Education,25-Jun-18,4.2 and up
Real Sheet ∞: Pathfinder + DT,FAMILY,3.5,2,22,50,Paid,$2.99 ,Everyone,Role Playing,20-Mar-17,4.2 and up
CE HPJM 69,NEWS_AND_MAGAZINES,NaN,2,22,50,Free,0,Everyone,News & Magazines,9-Nov-17,4.1 and up
DYPSOET,FAMILY,5,8,7.4,50,Free,0,Everyone,Education,7-Aug-18,4.1 and up
Read it easy for BK,LIFESTYLE,5,1,3.2,50,Free,0,Everyone,Lifestyle,15-Jul-18,4.1 and up
Villarreal CF Wallpapers 4 Fans,LIFESTYLE,NaN,2,3.2,50,Free,0,Everyone,Lifestyle,22-May-18,4.0 and up
BZ Fingers,GAME,4.6,15,3.2,50,Free,0,Everyone,Arcade,5-Jul-17,4.0.3 and up
My Ag Report,PRODUCTIVITY,NaN,1,3.2,50,Free,0,Everyone,Productivity,18-Jun-18,5.1 and up
DH Mariage,LIFESTYLE,NaN,0,4.9,50,Free,0,Everyone,Lifestyle,12-Sep-17,4.3 and up
Iraq love chat,DATING,NaN,14,5,50,Free,0,Teen,Dating,3-Aug-18,4.0.3 and up
Minwa HA ( C.B ),HOUSE_AND_HOME,NaN,0,5,50,Free,0,Everyone,House & Home,15-Sep-17,4.1 and up
DG Surveyor,BUSINESS,3.6,5,6.8,50,Paid,$8.99 ,Everyone,Business,30-Apr-18,4.0.3 and up
Ceasa CE,TOOLS,NaN,0,4,50,Free,0,Everyone,Tools,13-Jun-18,4.0 and up
Ability DS UNO,PRODUCTIVITY,NaN,3,2.3,50,Paid,$2.60 ,Everyone,Productivity,19-May-14,1.5 and up
BC MVA Fines,BOOKS_AND_REFERENCE,5,5,7.2,50,Paid,$1.75 ,Everyone,Books & Reference,8-Oct-15,4.1 and up
CD Padel Mora,SPORTS,NaN,1,7.2,50,Free,0,Everyone,Sports,14-Jun-18,4.0 and up
Bubble Shooter DX AdFree,FAMILY,NaN,1,2.1,50,Paid,$2.99 ,Everyone,Casual,31-May-16,2.3 and up
Warfarin Dose Calculator,MEDICAL,NaN,0,6.9,50,Free,0,Everyone,Medical,15-Jul-18,4.1 and up
MY GULFPORT FL,PRODUCTIVITY,NaN,0,49,50,Free,0,Everyone,Productivity,18-May-18,4.1 and up
Displaying You VR,PHOTOGRAPHY,NaN,1,67,50,Free,0,Everyone,Photography,19-Oct-16,4.0 and up
Vital Tones EI Pro,HEALTH_AND_FITNESS,NaN,2,85,50,Paid,$9.99 ,Everyone,Health & Fitness,1-Dec-17,4.0 and up
AC-BL,COMMUNICATION,NaN,0,4.3,50,Free,0,Everyone,Communication,20-Apr-18,2.1 and up
bq magazine,NEWS_AND_MAGAZINES,NaN,2,8.8,50,Free,0,Everyone,News & Magazines,19-Jul-18,4.1 and up
BxPort - Bitcoin Bx (Thailand),FINANCE,5,4,4.1,50,Free,0,Everyone,Finance,14-Jul-18,4.2 and up
AC CE BJT Actorial,FAMILY,NaN,1,1.4,50,Paid,$2.00 ,Everyone,Education,27-Sep-15,1.6 and up
gps tracker cg,TOOLS,NaN,0,1.4,50,Free,0,Everyone,Tools,27-May-17,4.1 and up
CricQuick,SPORTS,5,17,1.5,50,Free,0,Everyone,Sports,8-Dec-17,4.0.3 and up
CI Capital - Dynamic,FINANCE,4.8,4,5.1,50,Free,0,Everyone,Finance,23-May-18,5.0 and up
Number Therapy,MEDICAL,NaN,0,5.3,50,Paid,$14.99 ,Everyone,Medical,3-Oct-17,4.0.3 and up
Global Shop,BUSINESS,NaN,0,3.3,50,Free,0,Everyone,Business,23-Feb-18,4.0 and up
FN,BUSINESS,5,14,3.3,50,Free,0,Everyone,Business,1-Feb-18,4.0 and up
Love Calendar - Couple Sharing Calendar & CoupleDay,DATING,NaN,14,3.3,50,Free,0,Everyone,Dating,30-Jul-18,4.1 and up
ElejaOnline DF,BUSINESS,NaN,0,3,50,Free,0,Everyone,Business,18-Jun-18,4.1 and up
Ag-Pro Companies,BUSINESS,NaN,0,45,50,Free,0,Everyone,Business,6-Mar-18,4.4 and up
CX Elevated,BUSINESS,NaN,0,55,50,Free,0,Everyone,Business,1-Feb-18,4.1 and up
Diligan CD VR,MEDICAL,NaN,1,46,50,Free,0,Everyone,Medical,21-May-18,4.4 and up
BV Teknisk App,BUSINESS,NaN,0,2,50,Free,0,Everyone,Business,15-Jan-16,4.0 and up
Truck Driving Test Class 3 BC,FAMILY,1,1,2,50,Paid,$1.49 ,Everyone,Education,9-Apr-12,2.1 and up
EP Coding,MEDICAL,NaN,0,2,50,Paid,$0.99 ,Everyone,Medical,5-Oct-17,4.0 and up
EduNAV.BH,FAMILY,NaN,3,3.8,50,Free,0,Everyone,Education,12-Feb-18,4.3 and up
Santa Fe Thrive,HEALTH_AND_FITNESS,5,2,8.3,50,Free,0,Everyone,Health & Fitness,9-Jul-18,4.1 and up
Pyaar Ek Dhoka,FAMILY,5,18,1.3,50,Free,0,Everyone,Casual,13-Feb-18,4.3 and up
Stolica.bg,NEWS_AND_MAGAZINES,NaN,1,1.3,50,Free,0,Everyone,News & Magazines,2-May-18,5.0 and up
LifePoint Church - FL,LIFESTYLE,NaN,1,7.6,50,Free,0,Everyone,Lifestyle,9-Dec-15,4.0.3 and up
Loteria BR,FAMILY,NaN,0,1.8,50,Free,0,Everyone,Entertainment,17-May-17,4.0 and up
ABG Master,MEDICAL,NaN,2,1.8,50,Paid,$0.99 ,Everyone,Medical,4-Aug-18,4.1 and up
iLauncher OS 12 Pro - Phone X,PERSONALIZATION,NaN,3,9.6,50,Paid,$2.99 ,Everyone,Personalization,24-Jun-18,4.1 and up
CL Strength,HEALTH_AND_FITNESS,5,3,40,50,Free,0,Everyone,Health & Fitness,27-Jun-18,4.1 and up
Unstoppaball DX,FAMILY,4.2,5,40,50,Paid,$1.49 ,Everyone,Puzzle,20-May-14,2.0.1 and up
Penn State Health OnDemand,MEDICAL,NaN,0,40,50,Free,0,Everyone,Medical,24-Jul-18,4.0.3 and up
Penn State Health OnDemand,MEDICAL,NaN,0,40,50,Free,0,Everyone,Medical,24-Jul-18,4.0.3 and up
BS-Mobile,COMMUNICATION,5,1,0.666992188,50,Free,0,Everyone,Communication,3-Sep-15,2.3 and up
"Reading Race 1b: sh, ch words",FAMILY,NaN,2,76,50,Paid,$3.99 ,Everyone,Educational;Education,8-Jan-16,4.0 and up
COMSATS BOOK STORE FOR BS(CS),FAMILY,5,15,94,50,Free,0,Everyone,Education,11-Jul-18,4.0.3 and up
CB NFC Pendant,HEALTH_AND_FITNESS,NaN,0,0.891601563,50,Free,0,Everyone,Health & Fitness,4-Oct-17,4.1 and up
music (CG),FAMILY,NaN,0,99,50,Free,0,Everyone,Entertainment,24-Apr-18,4.1 and up
BS Detector - Diss 'n' Gauges,FAMILY,NaN,0,0.822265625,50,Paid,$1.49 ,Everyone,Entertainment,22-Feb-13,2.2 and up
Interactive NPC DM Tool,FAMILY,2.8,5,0.614257813,50,Paid,$0.99 ,Everyone,Role Playing,31-Jan-15,2.3.3 and up
EP Radio,FAMILY,5,3,0.150390625,50,Free,0,Everyone,Entertainment,26-Mar-18,3.0 and up
Word Search Tab 1 FR,FAMILY,NaN,0,0.99609375,50,Paid,$1.04 ,Everyone,Puzzle,6-Feb-12,3.0 and up
CT and XR Dose Calculator,MEDICAL,NaN,3,0.094726563,50,Paid,$0.99 ,Everyone,Medical,22-Jan-14,1.6 and up
BL File Explorer,TOOLS,NaN,1,0.411132813,50,Paid,$1.99 ,Everyone,Tools,18-Jul-14,1.5 and up
BW Wallpaper,PERSONALIZATION,4.5,4,0.499023438,50,Free,0,Everyone,Personalization,31-Dec-16,4.0 and up
Circle Colors Pack-FN Theme,PERSONALIZATION,4.2,6,0.086914063,50,Paid,$0.99 ,Everyone,Personalization,9-Aug-13,2.2 and up
EO SouthAsia,BUSINESS,4.2,8,19,100,Free,0,Teen,Business,25-Apr-18,4.1 and up
EY Digital Tax AR,BUSINESS,NaN,2,19,100,Free,0,Everyone,Business,29-Sep-17,4.0 and up
AF Nutrition - Integratori,HEALTH_AND_FITNESS,NaN,6,19,100,Free,0,Everyone,Health & Fitness,2-Aug-18,4.1 and up
BT (Usage Interne),LIBRARIES_AND_DEMO,NaN,3,19,100,Free,0,Everyone,Libraries & Demo,17-Aug-17,2.3 and up
Bar BQ Night Middlesbrough,SHOPPING,NaN,0,19,100,Free,0,Teen,Shopping,2-Jul-18,4.1 and up
C.B. Shop,SHOPPING,NaN,19,19,100,Free,0,Everyone,Shopping,9-May-17,4.0.3 and up
EF Summits,TRAVEL_AND_LOCAL,NaN,0,19,100,Free,0,Everyone,Travel & Local,20-May-18,4.4 and up
[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,PERSONALIZATION,4,13,19,100,Paid,$0.99 ,Everyone,Personalization,20-Jul-18,7.0 and up
OMEGA Black UI Theme - CM 12+,PERSONALIZATION,4.2,12,19,100,Paid,$0.99 ,Everyone,Personalization,20-Aug-15,5.0 and up
K-App Mitarbeiter Galeria Kaufhof,PRODUCTIVITY,NaN,0,19,100,Free,0,Everyone,Productivity,10-Jul-18,4.4 and up
Revista BS,NEWS_AND_MAGAZINES,NaN,10,19,100,Free,0,Everyone,News & Magazines,13-Jan-17,4.1 and up
AP Mobile 104,BUSINESS,NaN,0,14,100,Free,0,Everyone,Business,13-Dec-17,4.0 and up
DB Pickles,BUSINESS,5,5,14,100,Free,0,Everyone,Business,20-Mar-18,4.1 and up
Aj.Petra,COMMUNICATION,NaN,5,14,100,Free,0,Everyone,Communication,29-Sep-17,4.1 and up
Toronto Dating,DATING,NaN,0,14,100,Free,0,Mature 17+,Dating,12-Jul-18,4.1 and up
C B Patel Health Club,HEALTH_AND_FITNESS,5,5,14,100,Free,0,Everyone,Health & Fitness,2-Jul-18,4.4 and up
CF Townsville,HEALTH_AND_FITNESS,5,4,14,100,Free,0,Everyone,Health & Fitness,9-Jul-18,4.1 and up
DG Fitness,HEALTH_AND_FITNESS,4.8,6,14,100,Free,0,Everyone,Health & Fitness,23-Mar-18,4.1 and up
DF Squid,GAME,NaN,1,14,100,Free,0,Everyone,Board,12-Dec-13,2.3 and up
Denis Brogniart - AH 2 !,FAMILY,NaN,4,14,100,Free,0,Everyone,Entertainment,28-Oct-17,2.1 and up
Guia Bike DF,SPORTS,NaN,29,14,100,Free,0,Everyone,Sports,18-Feb-18,5.0 and up
B-17 Flying Fortress WWII LWP,PERSONALIZATION,NaN,7,14,100,Paid,$1.49 ,Everyone,Personalization,22-Dec-16,4.1 and up
Themes DAF CF 85,PERSONALIZATION,NaN,3,14,100,Free,0,Teen,Personalization,13-May-16,2.3.3 and up
Wallpapers Volvo FH Truck,PERSONALIZATION,4.2,4,14,100,Free,0,Teen,Personalization,31-Jul-16,2.3.3 and up
058.ba,NEWS_AND_MAGAZINES,4.4,27,14,100,Free,0,Everyone,News & Magazines,6-Jul-18,4.2 and up
CI On The Go,NEWS_AND_MAGAZINES,3,2,14,100,Free,0,Everyone,News & Magazines,18-Jul-18,5.0 and up
The ClubHouse CR,HEALTH_AND_FITNESS,NaN,5,8.7,100,Free,0,Everyone,Health & Fitness,9-Jul-18,4.1 and up
AG Track,TOOLS,4.1,12,8.7,100,Free,0,Everyone,Tools,23-Mar-18,4.0 and up
Merck CE,BUSINESS,4.5,2,25,100,Free,0,Everyone,Business,13-Feb-17,4.1 and up
Speeding Joyride & Car Meet App,DATING,5,3,25,100,Free,0,Mature 17+,Dating,20-Jul-18,4.1 and up
Bu Hangi Film ?,FAMILY,NaN,3,25,100,Free,0,Everyone,Puzzle,31-Aug-17,4.0.3 and up
DV Car Service,MAPS_AND_NAVIGATION,4.6,10,25,100,Free,0,Everyone,Maps & Navigation,9-Aug-17,4.0.3 and up
BV Link,BUSINESS,NaN,10,2.8,100,Free,0,Everyone,Business,11-Apr-18,4.1 and up
EP FCU,FINANCE,NaN,2,2.8,100,Free,0,Everyone,Finance,22-Mar-18,4.1 and up
BG TV Program,FAMILY,NaN,1,2.8,100,Free,0,Everyone,Entertainment,22-Apr-18,4.1 and up
AJ Cam,PHOTOGRAPHY,5,44,2.8,100,Free,0,Everyone,Photography,23-Jan-18,4.1 and up
CI CAFETERIAS UBER,PRODUCTIVITY,NaN,0,2.8,100,Free,0,Everyone,Productivity,11-Jun-18,4.4 and up
Diseño de columnas NTC - RSEE 2017,PRODUCTIVITY,NaN,6,2.8,100,Paid,$0.99 ,Everyone,Productivity,26-Mar-18,4.1 and up
gardening ideas flower diy,HOUSE_AND_HOME,NaN,0,5.6,100,Free,0,Everyone,House & Home,29-May-17,2.3 and up
Frases Cristianas de Esperanza y Fe,SOCIAL,NaN,2,5.6,100,Free,0,Everyone,Social,18-Oct-17,2.3 and up
[BN] Blitz,SPORTS,3.2,4,5.6,100,Free,0,Everyone,Sports,17-May-18,4.3 and up
chat dz,COMMUNICATION,5,8,29,100,Free,0,Teen,Communication,14-Mar-18,4.1 and up
E W Bookkeeping & Accountancy,FINANCE,NaN,1,29,100,Free,0,Everyone,Finance,23-Apr-18,4.1 and up
B-52 Spirits of Glory Deluxe,GAME,4.3,12,29,100,Paid,$0.99 ,Everyone,Arcade,2-Sep-17,2.3 and up
Maricopa AH,MEDICAL,NaN,0,29,100,Free,0,Everyone,Medical,16-Jul-18,4.0.3 and up
MD PAWS AH,MEDICAL,NaN,0,29,100,Free,0,Everyone,Medical,23-Feb-18,4.0.3 and up
Mukwonago AH,MEDICAL,NaN,1,29,100,Free,0,Everyone,Medical,29-Jun-17,4.0.3 and up
Claus Paws AH,MEDICAL,NaN,1,29,100,Free,0,Everyone,Medical,8-Dec-17,4.0.3 and up
Maricopa AH,MEDICAL,NaN,0,29,100,Free,0,Everyone,Medical,16-Jul-18,4.0.3 and up
WAH AH,MEDICAL,NaN,0,29,100,Free,0,Everyone,Medical,3-May-17,4.0.3 and up
Prestige AH,MEDICAL,4,2,29,100,Free,0,Everyone,Medical,11-May-17,4.0.3 and up
San Dimas AH,MEDICAL,NaN,0,29,100,Free,0,Everyone,Medical,18-Feb-18,4.0.3 and up
Hilltop AH,MEDICAL,NaN,0,29,100,Free,0,Everyone,Medical,10-Jan-18,4.0.3 and up
Ferguson AH,MEDICAL,NaN,0,29,100,Free,0,Everyone,Medical,17-Jul-17,4.0.3 and up
Downers Grove AH,MEDICAL,NaN,0,29,100,Free,0,Everyone,Medical,10-Jan-18,4.0.3 and up
AH of Rocky Hill,MEDICAL,NaN,0,29,100,Free,0,Everyone,Medical,24-Nov-17,4.0.3 and up
Rejoin Your Ex,SOCIAL,NaN,0,29,100,Free,0,Everyone,Social,26-May-15,2.3.3 and up
CE Smart,TOOLS,5,3,29,100,Free,0,Everyone,Tools,28-May-18,4.1 and up
ABTO CY-ET1,TOOLS,NaN,1,29,100,Free,0,Everyone,Tools,6-Feb-17,4.0 and up
Dete.bg,NEWS_AND_MAGAZINES,NaN,0,29,100,Free,0,Everyone,News & Magazines,12-Jun-17,4.1 and up
Shoot M-16 vs AK-47 : realistic weapon simulator,FAMILY,3,2,33,100,Free,0,Everyone,Simulation,18-Jul-18,4.1 and up
Bible Quizzer - The App for Bible Quizzers,FAMILY,NaN,0,33,100,Free,0,Everyone,Education,2-Aug-18,4.2 and up
CX-40,FAMILY,3,2,33,100,Free,0,Everyone,Entertainment,14-Dec-17,4.0 and up
Familial Hypercholesterolaemia Handbook,MEDICAL,1,2,33,100,Free,0,Everyone,Medical,2-Jul-18,4.1 and up
EF Lens Simulator,PHOTOGRAPHY,NaN,2,33,100,Paid,$9.99 ,Everyone,Photography,27-Feb-17,2.2 and up
DM AirDisk HDD,TOOLS,NaN,4,33,100,Free,0,Everyone,Tools,28-Jul-18,4.0.3 and up
Valencia CF Wallpapers 4 Fans,LIFESTYLE,NaN,4,3.1,100,Free,0,Everyone,Lifestyle,22-May-18,4.0 and up
CR -Call Recorder,TOOLS,NaN,4,3.1,100,Free,0,Everyone,Tools,19-Sep-17,4.1 and up
DG Users,PRODUCTIVITY,4.5,8,3.1,100,Free,0,Everyone,Productivity,7-Jun-18,4.0.3 and up
Noticias FC Barcelona,NEWS_AND_MAGAZINES,5,4,3.1,100,Free,0,Everyone,News & Magazines,15-Jun-18,4.4 and up
DS-11 form,BUSINESS,NaN,3,28,100,Free,0,Everyone,Business,27-Apr-18,4.1 and up
DS-82 form,BUSINESS,NaN,1,28,100,Free,0,Everyone,Business,27-Apr-18,4.1 and up
BU HANGİ ŞARKI ? - 2018,GAME,NaN,4,28,100,Free,0,Everyone,Trivia,2-Jun-18,4.0.3 and up
Freeland AH,MEDICAL,NaN,0,28,100,Free,0,Everyone,Medical,18-Dec-17,4.0.3 and up
Arrowhead AH App,MEDICAL,5,3,28,100,Free,0,Everyone,Medical,21-Apr-17,4.0.3 and up
Kimbrough AH,MEDICAL,5,5,28,100,Free,0,Everyone,Medical,21-Sep-17,4.0.3 and up
B-L Animal Hospital,MEDICAL,NaN,1,28,100,Free,0,Everyone,Medical,8-Jun-17,4.0.3 and up
Mat|r viewer,PRODUCTIVITY,NaN,5,28,100,Free,0,Everyone,Productivity,27-Jul-18,5.0 and up
NEMA ei,BUSINESS,5,4,12,100,Free,0,Everyone,Business,6-Nov-17,4.4 and up
NativeScript Developer Day EU,BUSINESS,NaN,2,12,100,Free,0,Everyone,Business,23-Sep-17,4.2 and up
CB Mobile GA,FINANCE,NaN,1,12,100,Free,0,Everyone,Finance,21-Nov-17,4.1 and up
Jimbo's Pit Bar B-Q,FOOD_AND_DRINK,NaN,3,12,100,Free,0,Everyone,Food & Drink,28-Nov-16,4.0 and up
DG Xplained,HEALTH_AND_FITNESS,NaN,1,12,100,Free,0,Everyone,Health & Fitness,2-May-18,4.1 and up
FQ Magazine,LIFESTYLE,NaN,1,12,100,Free,0,Everyone,Lifestyle,12-Dec-16,4.1 and up
CP Trivia,GAME,5,5,12,100,Free,0,Everyone,Trivia,6-Aug-18,5.0 and up
Learn Quran with Elif Ba,FAMILY,NaN,3,12,100,Paid,$1.49 ,Everyone,Education,3-Mar-17,2.3 and up
BV Bombers,SPORTS,NaN,0,12,100,Free,0,Everyone,Sports,31-Jan-17,4.0 and up
Austria Wien FK - Fussball - Inoffizielle App,SPORTS,NaN,2,12,100,Free,0,Everyone,Sports,27-Jul-18,4.1 and up
Florida Beach Wallpapers HD,TRAVEL_AND_LOCAL,5,3,12,100,Free,0,Everyone,Travel & Local,30-Dec-15,4.1 and up
